a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,b_iter_best,b_n_iters,b_train_time,hp_batch_size,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.3338705543973206,0.420527562950074,0.3328808173940141,1.5945748018095909,1.4147827727136262,1.5855515314860589,0.34165528923214405,0.4101335140625526,0.3416546141094169,38,40,7012.948036909103,128,0.0,0.0,true
2,0.2044089434702181,0.420527562950074,0.17643901498933823,1.7549879872178447,1.4147827727136262,1.7549876811249137,0.2538820253912001,0.4101335140625526,0.21668681651946164,33,40,18280.768268108368,128,0.0,0.0,false
3,0.431223630849759,0.420527562950074,0.40988705059869135,1.4319021109827084,1.4147827727136262,1.539354811070127,0.4193570511610636,0.4101335140625526,0.4011553673179411,8,38,6597.992786884308,128,0.5,0.0,true
4,0.37893279094738386,0.420527562950074,-0.09146210120357923,1.4548634830532654,1.4147827727136262,1.7512927390698647,0.3404750246499473,0.4101335140625526,-0.07121945199340529,1,35,10380.394671916962,128,0.5,0.0,false
5,0.4385711550614293,0.420527562950074,0.4265045320088525,1.4848899584554376,1.4147827727136262,1.5165399424096782,0.4174782539416104,0.4101335140625526,0.40936320457412356,19,38,6639.920627117157,128,0.1,0.0,true
6,0.3870714240401214,0.420527562950074,0.1616513666072541,1.4299269444388831,1.4147827727136262,1.7048337461314835,0.37065800103310664,0.4101335140625526,0.14257367933070775,6,36,10031.616102218628,128,0.1,0.0,false
7,0.4248748394377224,0.420527562950074,0.4250538416523504,1.4576846815549862,1.4147827727136262,1.4620494428713764,0.41400726648355346,0.4101335140625526,0.41325177479452435,37,40,6726.6581819057465,128,0.02,0.0,true
8,0.4090527044770558,0.420527562950074,0.3819098982507916,1.4147621611335137,1.4147827727136262,1.5306285853588575,0.4013867826031092,0.4101335140625526,0.35611139476710596,1,37,7848.867573976517,128,0.02,0.0,false
9,0.349508591897395,0.420527562950074,0.349508591897395,1.5900761696202905,1.4147827727136262,1.5900761696202905,0.3466451704715532,0.4101335140625526,0.3466451704715532,40,40,6796.940052032471,128,0.0,0.001,true
10,0.2598974861090053,0.420527562950074,0.200577726886489,1.754984409011322,1.4147827727136262,1.752425766680037,0.27591738763103124,0.4101335140625526,0.2323582696257741,33,40,17682.65116405487,128,0.0,0.001,false
11,0.4312239758746046,0.420527562950074,0.4001558733159052,1.4319017868454367,1.4147827727136262,1.5342761916858043,0.4193591758814932,0.4101335140625526,0.3902532426866645,8,40,6589.049554824829,128,0.5,0.001,true
12,0.35487874212903403,0.420527562950074,0.2733976782060239,1.4513761532767298,1.4147827727136262,1.7515275878064083,0.337100445813022,0.4101335140625526,0.260371730321185,1,38,10423.854263067245,128,0.5,0.001,false
13,0.4385684694292964,0.420527562950074,0.42144917987336106,1.4827552101983645,1.4147827727136262,1.5104152855264195,0.41678874303155844,0.4101335140625526,0.4137309203148152,20,40,6615.103239059448,128,0.1,0.001,true
14,0.4062552271321548,0.420527562950074,0.3489526710039821,1.4257481529838216,1.4147827727136262,1.705950086172785,0.3660998609327033,0.4101335140625526,0.29676766849922176,1,39,10035.127455234528,128,0.1,0.001,false
15,0.42486046151225065,0.420527562950074,0.42627287598688435,1.459799526088358,1.4147827727136262,1.4615756116873353,0.4140075531596472,0.4101335140625526,0.41286708580920584,38,40,5967.467061042786,128,0.02,0.001,true
16,0.4086479979540125,0.420527562950074,0.39694271514993495,1.433260576062553,1.4147827727136262,1.5307508580745832,0.39582480512391904,0.4101335140625526,0.37757241440866096,18,40,7965.781857967377,128,0.02,0.001,false
17,0.3035793345059856,0.420527562950074,0.21712961398617947,1.4980970114696919,1.4147827727136262,1.4299468863384939,0.31434645153108987,0.4101335140625526,0.22282518125724637,9,40,7103.308270931244,128,0.0,0.1,true
18,0.257639190031693,0.420527562950074,0.2579755714444567,1.7532832100960571,1.4147827727136262,1.7543938094234646,0.26821902864037916,0.4101335140625526,0.26060101536841696,36,40,18992.177309036255,128,0.0,0.1,false
19,0.4305879416245977,0.420527562950074,0.4010615237066064,1.4319392056004965,1.4147827727136262,1.5047440927093918,0.4198810852025794,0.4101335140625526,0.40277392053226135,8,40,6311.112493991852,128,0.5,0.1,true
20,0.3765880588018964,0.420527562950074,0.28584186008002066,1.454875465143231,1.4147827727136262,1.5315424801290476,0.360231756771203,0.4101335140625526,0.2878732532961956,1,40,7222.32283782959,128,0.5,0.1,false
21,0.4370504697481812,0.420527562950074,0.42396302772452166,1.476140603438942,1.4147827727136262,1.4889560992393873,0.4165054747531354,0.4101335140625526,0.4023660466196337,19,40,5820.646780967712,128,0.1,0.1,true
22,0.42001600614137446,0.420527562950074,0.4199065510267437,1.5346229692484092,1.4147827727136262,1.5279505887445133,0.4003237680169991,0.4101335140625526,0.3944113463807051,26,40,8101.59720492363,128,0.1,0.1,false
23,0.419883463817742,0.420527562950074,0.42193012304015576,1.4399581135914525,1.4147827727136262,1.4526239568303927,0.4116371324088586,0.4101335140625526,0.4103678598188243,34,40,5995.888597011566,128,0.02,0.1,true
24,0.41517003881054193,0.420527562950074,0.41515091026427564,1.44579058590157,1.4147827727136262,1.4489147856971445,0.3997860209498667,0.4101335140625526,0.3991681543704324,36,40,7665.3163051605225,128,0.02,0.1,false
25,0.3005820161579287,0.420527562950074,0.21713340304880124,1.127460480289285,1.4147827727136262,1.4299476223495056,0.3020489498016192,0.4101335140625526,0.22282827181878595,9,40,6576.691076040268,128,0.0,10.0,true
26,0.30058201598787027,0.420527562950074,0.21713340304772055,1.127460480638419,1.4147827727136262,1.4299476223460372,0.3020489496325047,0.4101335140625526,0.2228282718177116,9,40,5759.810945034027,128,0.0,10.0,false
27,0.42060601987303325,0.420527562950074,0.4204680148120288,1.4261709815536951,1.4147827727136262,1.4211895761560722,0.4101244913707003,0.4101335140625526,0.4101222446685804,22,40,6037.54535317421,128,0.5,10.0,true
28,0.35548502996293685,0.420527562950074,0.3405114312640829,1.2888053599441003,1.4147827727136262,1.2780106017978206,0.3573102114626967,0.4101335140625526,0.3460006149639494,8,40,5984.368646860123,128,0.5,10.0,false
29,0.41666511600141765,0.420527562950074,0.42047327563559844,1.4165042882460845,1.4147827727136262,1.421214715718933,0.4101327530574834,0.4101335140625526,0.4101312217466704,2,40,6114.242534160614,128,0.1,10.0,true
30,0.3955564959880362,0.420527562950074,0.3723436038999326,1.439534656937612,1.4147827727136262,1.404799040213787,0.36639606127832525,0.4101335140625526,0.3248833984722388,3,38,7285.53542304039,128,0.1,10.0,false
31,0.4207832537122598,0.420527562950074,0.4204735407489615,1.4215895765508053,1.4147827727136262,1.4212165881280665,0.4101339462840241,0.4101335140625526,0.4101320701464066,14,40,6467.374735116959,128,0.02,10.0,true
32,0.42007981444955655,0.420527562950074,0.42115443700364064,1.4265129205564522,1.4147827727136262,1.4279772195865608,0.39932915103434374,0.4101335140625526,0.39847926641470943,19,40,7397.380172014236,128,0.02,10.0,false
