a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_RN_train,a_profit_RN_val,a_profit_RN_test,a_profit_RN_train_fc,a_profit_RN_val_fc,a_profit_RN_test_fc,b_train_time,hp_reg,hp_gamma,hp_lr,hp_bs,hp_hl1_units,hp_hl1_act
1,1.4224435091018677,0.40720099210739136,0.4183559715747833,1.4224443435668945,0.4072011411190033,0.41835615038871765,1.4148448705673218,0.4101625680923462,0.42051103711128235,177.75116181373596,0,0.01,5e-05,16,24,softplus
2,1.4296494722366333,0.4093330204486847,0.33111533522605896,1.4299179315567017,0.4094739556312561,0.4213409721851349,1.4148448705673218,0.4101625680923462,0.42051103711128235,190.28560972213745,0,0.03,5e-05,16,24,softplus
3,1.4868419170379639,0.4099481403827667,0.35040706396102905,1.4857213497161865,0.4113215208053589,0.41644880175590515,1.4148448705673218,0.4101625680923462,0.42051103711128235,174.06056141853333,0,0.1,5e-05,16,24,softplus
4,1.4571118354797363,0.4099641442298889,0.36073505878448486,1.4578273296356201,0.41416674852371216,0.42001017928123474,1.4148448705673218,0.4101625680923462,0.42051103711128235,192.9021234512329,0,0.3,5e-05,16,24,softplus
5,1.4321439266204834,0.40409156680107117,0.3314596712589264,1.4354233741760254,0.4158492982387543,0.42532575130462646,1.4148448705673218,0.4101625680923462,0.42051103711128235,187.5580177307129,0,1,5e-05,16,24,softplus
6,1.4507936239242554,0.3789086937904358,0.30011916160583496,1.4487383365631104,0.410857617855072,0.4199143052101135,1.4148448705673218,0.4101625680923462,0.42051103711128235,195.628803730011,0,3,5e-05,16,24,softplus
7,1.3249071836471558,0.2562606930732727,0.19857993721961975,1.443579912185669,0.40855470299720764,0.41842547059059143,1.4148448705673218,0.4101625680923462,0.42051103711128235,214.501389503479,0,10,5e-05,16,24,softplus
8,1.140519142150879,0.13359683752059937,0.10043869912624359,1.4534478187561035,0.4119551181793213,0.42685559391975403,1.4148448705673218,0.4101625680923462,0.42051103711128235,192.5273313522339,0,30,5e-05,16,24,softplus
9,1.4027575254440308,0.40918973088264465,0.34740203619003296,1.4027577638626099,0.4105634391307831,0.42124420404434204,1.4148448705673218,0.4101625680923462,0.42051103711128235,217.61905097961426,0.01,0.01,5e-05,16,24,softplus
10,1.4219528436660767,0.4083351492881775,0.33597907423973083,1.4219197034835815,0.40840861201286316,0.41918009519577026,1.4148448705673218,0.4101625680923462,0.42051103711128235,215.8222382068634,0.01,0.03,5e-05,16,24,softplus
11,1.4779760837554932,0.41328883171081543,0.3551137149333954,1.4761713743209839,0.41472965478897095,0.43371129035949707,1.4148448705673218,0.4101625680923462,0.42051103711128235,200.43501353263855,0.01,0.1,5e-05,16,24,softplus
12,1.4496644735336304,0.4151727855205536,0.35620689392089844,1.452538251876831,0.4156559109687805,0.4312325716018677,1.4148448705673218,0.4101625680923462,0.42051103711128235,179.9179949760437,0.01,0.3,5e-05,16,24,softplus
13,1.432342529296875,0.4036901295185089,0.3316725492477417,1.4335507154464722,0.4158494174480438,0.4273666739463806,1.4148448705673218,0.4101625680923462,0.42051103711128235,179.71293115615845,0.01,1,5e-05,16,24,softplus
14,1.4299938678741455,0.3766370117664337,0.2986106276512146,1.4364840984344482,0.41118383407592773,0.42125213146209717,1.4148448705673218,0.4101625680923462,0.42051103711128235,195.86436772346497,0.01,3,5e-05,16,24,softplus
15,1.324364185333252,0.256612092256546,0.19873331487178802,1.4390243291854858,0.40855470299720764,0.4179955720901489,1.4148448705673218,0.4101625680923462,0.42051103711128235,182.557457447052,0.01,10,5e-05,16,24,softplus
16,1.180508017539978,0.1456737220287323,0.11283792555332184,1.434222936630249,0.4129543900489807,0.41834619641304016,1.4148448705673218,0.4101625680923462,0.42051103711128235,196.72206258773804,0.01,30,5e-05,16,24,softplus
